	0	1	10	11	12	13	14	15	16	17	18	19	2	20	3	4	5	6	7	8	9
1974 Female	6		10	10	10	10	10	10	10	10	10	6		9	5	5	8	6	6	10	9
1974 Male	3	3	9	10	10	10	10	10	10	10	10	10	0	10	4	6	5	7	10	9	10
1976 Female	3		10	10	10	9	10	9	10	10	10	10	7	10	6	5	6	8	7	10	9
1976 Male	7		10	10	10	10	10	10	10	10	10	10	3	10	5	5	5	5	7	9	9
1978 Female		1	9	10	10	10	10	10	10	10	10	10		9	4	6	7	6	8	10	9
1978 Male	1	2	9	10	10	10	10	10	10	10	10	10	4	10	5	8	3	5	8	8	7
1982 Female	1		9	9	10	10	10	10	10	10	10	10	6	10	6	3	4	6	9	10	9
1982 Male			10	10	10	10	10	10	10	10	10	10	3	10	5	5	4	6	7	8	8
1984 Female			10	9	10	10	10	10	10	10	10	9	5	10	5	5	6	8	8	9	8
1984 Male	7	4	8	9	10	10	10	10	10	10	10	10	3	10	3	10	4	8	7	10	7
1987 Female	1		9	10	10	10	10	10	10	10	10	10	5	10	2	4	5	6	5	9	8
1987 Male	3	3	10	8	10	9	10	10	10	10	10	10		10	4	6	7	5	9	9	10
1988 Female			9	8	10	10	9	10	10	9	10	10		10	2	0	5	5	6	7	8
1988 Male			8	9	10	10	9	10	10	9	10	10		10	9	3	5	6	10	10	6
1989 Female			9	8	10	10	10	10	10	10	10	10		10	3	1	2	4	8	10	7
1989 Male	5	1	8	7	9	9	10	10	10	10	10	10		10	1	5	4	5	3	8	7
1990 Female	5		8	9	10	10	10	9	10	10	10	9		10		4	4	7	3	7	6
1990 Male	10		6	10	10	9	9	10	10	10	10	10	5	10		2		7	7	6	10
1991 Female			9	8	10	10	10	10	10	10	10	10		10	1	4	5	4	6	7	9
1991 Male			8	8	10	9	10	10	10	10	10	10		10	5	5	1	5	4	8	7
1993 Female			8	9	10	10	10	10	10	10	10	10		10		6	1	5	7	9	9
1993 Male			7	9	10	10	10	10	10	10	10	10	6	10		3	2	6	6	8	7
1994 Female	5		9	10	10	10	10	10	10	10	10	10		10	4	3	3	9	7	8	9
1994 Male	4	5	7	10	10	10	10	10	10	10	10	10	4	10	6	3	3	4	9	9	8
1996 Female	0		9	9	10	10	10	10	10	10	10	10		10	3	3	7	6	7	7	8
1996 Male			9	8	10	10	10	10	10	10	10	10		10	2		5	5	8	6	6
1998 Female	10		9	10	10	10	10	10	10	10	10	10		10	4	4	3	7	6	8	8
1998 Male			6	8	10	9	10	10	10	10	10	10	7	10	3	5	4	6	7	6	7
2000 Female	1		10	10	10	10	10	10	10	10	10	10	4	10	10	2	7	2	8	9	9
2000 Male			7	8	10	9	9	10	10	10	10	10		10		3	5	4	4	9	7
2004 Female			8	8	10	10	10	10	10	10	10	10	7	10	0	3		5	7	7	8
2004 Male	5	2	7	10	10	10	10	10	10	10	10	10		10			3	8	8	6	9
2006 Female	6		9	8	10	10	10	10	10	10	10	10	8	10	0	6	7	8	8	7	8
2006 Male	3		8	8	9	10	10	10	10	10	10	10	8	10	6	5	7	8	6	8	7
2008 Female	3		7	8	10	10	10	9	10	9	10	10		10	2		4	9	8	6	7
2008 Male	1		8	7	10	10	10	10	10	10	10	10		10	9	2	4	8	7	8	7
2010 Female	1	2	8	8	10	10	10	9	10	10	10	10	8	10		2	6	8	4	8	9
2010 Male			8	7	8	10	10	9	10	10	10	10	5	10	5	6	2	3	4	9	6
2012 Female			8	10	10	10	10	10	10	10	10	10	4	10	7		4	6	5	10	7
2012 Male	3		9	8	10	9	10	10	10	10	10	10	5	10		3	5	8	3	8	9
2014 Female	1	7	7	9	10	9	10	10	10	10	10	10	6	10	6		7	7		7	7
2014 Male	8		9	8	10	10	10	10	10	10	10	10		10	3	2	7	8	4	7	7
2016 Female		6	8	9	10	10	10	10	10	10	10	10		10	2	2	8	7	5	7	7
2016 Male			8	9	10	9	9	10	10	10	10	10	5	10			5	10	9	6	7
